file,whisper_text,correct_text
atcosim_train76.wav,delta india charlie papa alfa rhein radar identified,delta india charlie papa alfa rhein radar identified
atcosim_train77.wav,psa 526 hotel rhein radar identified,psa 526 hotel rhein radar identified
atcosim_train78.wav,viva 585 turn left to frankfurt,viva 585 turn left to frankfurt
atcosim_train79.wav,jetset 1429 contact rhein 127.37,jetset 1429 contact rhein 127.37
atcosim_train80.wav,air malta 004 rhein radar 12737,air malta 004 rhein radar 12737
atcosim_train81.wav,alitalia 401 rhein identified climb flight level 270,alitalia 401 rhein identified climb flight level 270
atcosim_train82.wav,sabena 832 contact rhein 12737,sabena 832 contact rhein 12737
atcosim_train83.wav,sabena 7816 turn left to gotil,sabena 7816 turn left to gotil
atcosim_train84.wav,viva 585 contact rhein 127.37,viva 585 contact rhein 127.37
atcosim_train85.wav,hapag lloyd 3551 rhein identified,hapag lloyd 3551 rhein identified
atcosim_train86.wav,aero lloyd 590 contact zurich 134.6,aero lloyd 590 contact zurich 134.6
atcosim_train87.wav,britannia triple 2 alfa proceed direct to kempten,britannia triple 2 alfa proceed direct to kempten
atcosim_train88.wav,klm 264 contact rhein 12737,klm 264 contact rhein 12737
atcosim_train89.wav,sabena 7816 rhein 12737,sabena 7816 rhein 12737
atcosim_train90.wav,belstar 502 hotel rhein identified,belstar 502 hotel rhein identified
atcosim_train91.wav,gulf air 007 rhein identified,gulf air 007 rhein identified
atcosim_train92.wav,lufthansa 4652 zurich radar 134.6,lufthansa 4652 zurich radar 134.6
atcosim_train93.wav,lufthansa 4416 rhein identified standby for higher turn left by 15 degrees,lufthansa 4416 rhein identified standby for higher turn left by 15 degrees
atcosim_train94.wav,alitalia 401 climb flight level 290,alitalia 401 climb flight level 290
atcosim_train95.wav,lufthansa 4416 climb flight level 290,lufthansa 4416 climb flight level 290
atcosim_train96.wav,alitalia station co  alitalia 487 i got it you are identified,alitalia station co  alitalia 487 i got it you are identified
atcosim_train97.wav,speed bird 124 rhein identified,speed bird 124 rhein identified
atcosim_train98.wav,delta india mike lima lima rhein radar identified,delta india mike lima lima rhein radar identified
atcosim_train99.wav,psa 526 hotel contact rhein 132.4,psa 526 hotel contact rhein 132.4
atcosim_train100.wav,lufthansa 4416 right turn to trasadingen,lufthansa 4416 right turn to trasadingen
atcosim_train101.wav,alitalia 119 zurich 134.6,alitalia 119 zurich 134.6
atcosim_train102.wav,alitalia 485 zurich 133.4,alitalia 485 zurich 133.4
atcosim_train103.wav,netherlands air force 34 identified,netherlands air force 34 identified
atcosim_train104.wav,35 sorry,35 sorry
atcosim_train105.wav,oscar oscar papa hotel india rhein radar identified,oscar oscar papa hotel india rhein radar identified
atcosim_train106.wav,turkish 515 rhein identified,turkish 515 rhein identified
atcosim_train107.wav,alitalia 401 contact zurich 134.6,alitalia 401 contact zurich 134.6
atcosim_train108.wav,gulf air 007 contact rhein 127.37,gulf air 007 contact rhein 127.37
atcosim_train109.wav,europa 363 rhein radar identified proceed direct to frankfurt,europa 363 rhein radar identified proceed direct to frankfurt
atcosim_train110.wav,britannia 222 alfa contact rhein 132.4,britannia 222 alfa contact rhein 132.4
atcosim_train111.wav,speed bird 124 contact rhein 12737 good bye,speed bird 124 contact rhein 12737 good bye
atcosim_train112.wav,turkish 515 contact rhein 12737,turkish 515 contact rhein 12737
atcosim_train113.wav,lufthansa 4416 contact zurich 134.6,lufthansa 4416 contact zurich 134.6
atcosim_train114.wav,lufthansa 3556 rhein radar identified turn left by 10 degrees and climb flight level 260,lufthansa 3556 rhein radar identified turn left by 10 degrees and climb flight level 260
atcosim_train115.wav,midland 720 rhein radar identified,midland 720 rhein radar identified
atcosim_train116.wav,station calling say again,station calling say again
atcosim_train117.wav, sabina 9369 rheina identified,sabena 9369 rhein identified
atcosim_train118.wav,hapag lloyd 3551 contact zurich 133.4,hapag lloyd 3551 contact zurich 133.4
atcosim_train119.wav,lufthansa 3556 climb flight level 290,lufthansa 3556 climb flight level 290
atcosim_train120.wav,alitalia 292 rhein identified,alitalia 292 rhein identified
atcosim_train121.wav,lufthansa 3556 set kosta trasadingen,lufthansa 3556 set course to trasadingen
atcosim_train122.wav,psa 502 hotel contact rhein 132.4,psa 502 hotel contact rhein 123.4
atcosim_train123.wav,speed bird 122 guten tag identified,speed bird 122 guten tag identified
atcosim_train124.wav,alitalia 487 contact zurich 134.6,alitalia 487 contact zurich 134.6
atcosim_train125.wav,alitalia 149 rhein identified,alitalia 149 rhein identified
atcosim_train126.wav,midland 720 turn right by 15 degrees,midland 720 turn right by 15 degrees
atcosim_train127.wav,delta india charlie papa alfa contact zurich 134.6,delta india charlie papa alfa contact zurich 134.6
atcosim_train128.wav,britannia 236 alfa rhein radar identified,britannia 236 alfa rhein radar identified
atcosim_train129.wav,oscar oscar papa hotel india contact rhein 132.4,oscar oscar papa hotel india contact rhein 132.4
atcosim_train130.wav,midland 720 climb flight level 350,midland 720 climb flight level 350
atcosim_train131.wav,sabena 801 rhein identified,sabena 801 rhein identified
atcosim_train132.wav,alitalia 157 rhein identified,alitalia 157 rhein identified
atcosim_train133.wav,netherlands air force 35 contact rhein 132.4,netherlands air force 35 contact rhein 132.4
atcosim_train134.wav,midland 720 set course to costa,midland 720 set course to costa
atcosim_train135.wav,charlie oscar alfa,charlie oscar alfa
atcosim_train136.wav,ok so make it november tango mike,ok so make it november tango mike
atcosim_train137.wav,midland 720 contact rhein 12737,midland 720 contact rhein 12737
atcosim_train138.wav,lufthansa 3556 contact zurich 134.6,lufthansa 3556 contact zurich 134.6
atcosim_train139.wav,sabena 9369 right turn to trasadingen,sabena 9369 right turn to trasadingen
atcosim_train140.wav,lufthansa 3638 rhein radar identified climb flight level 270,lufthansa 3638 rhein radar identified climb flight level 270
atcosim_train141.wav,alitalia 292 turn left to gotil,alitalia 292 turn left to gotil
atcosim_train142.wav,europa 363 contact rhein 127.37,europa 363 contact rhein 127.37
atcosim_train143.wav,speed bird 122 contact rhein 127.37,speed bird 122 contact rhein 127.37
atcosim_train144.wav,jetset 497 rhein radar identified,jetset 497 rhein radar identified
atcosim_train145.wav,sabena 9369 turn right direct to foxtrot romeo india,sabena 9369 turn right direct to foxtrot romeo india
atcosim_train146.wav,delta india mike lima lima contact zurich 134.6,delta india mike lima lima contact zurich 134.6
atcosim_train147.wav,condor 218 rhein radar identified,condor 218 rhein radar identified
atcosim_train148.wav,alitalia 413 rhein identified climb flight level 250 set course trasadingen,alitalia 413 rhein identified climb flight level 250 set course trasadingen
atcosim_train149.wav,alitalia 465 rhein radar identified,alitalia 465 rhein radar identified
atcosim_train150.wav,swiss air 783 romeo rhein identified,swiss air 783 romeo rhein identified
atcosim_train151.wav,alitalia 292 contact rhein 127.37,alitalia 292 contact rhein 127.37
atcosim_train152.wav,hapag lloyd 137 rhein radar identified,hapag lloyd 137 rhein radar identified
atcosim_train153.wav,speed bird 389 rhein identified,speed bird 389 rhein identified
atcosim_train154.wav,sabena 9369 contact zurich 134.6,sabena 9369 contact zurich 134.6
atcosim_train155.wav,britannia 236 alfa zurich 133.4,britannia 236 alfa zurich 133.4
atcosim_train156.wav,alitalia 149 zurich 134.6,alitalia 149 zurich 134.6
atcosim_train157.wav,lufthansa 3638 climb flight level 330,lufthansa 3638 climb flight level 330
atcosim_train158.wav,speed bird 389 climb flight level 310,speed bird 389 climb flight level 310
atcosim_train159.wav,thank you,thank you
atcosim_train160.wav,that s ok,that s ok
atcosim_train161.wav,europa 744 is identified,europa 744 is identified
atcosim_train162.wav,britannia 096 alfa is identified,britannia 096 alfa is identified
atcosim_train163.wav,lufthansa 4390 identified climb flight level 27290,lufthansa 4390 identified climb flight level 27290
atcosim_train164.wav, Isbalkan 496 stil uz mē,is balkan 496 still with me
atcosim_train165.wav,europa 744 contact now zurich 134.6 good bye,europa 744 contact now zurich 134.6 good bye
atcosim_train166.wav,britannia 096 alfa turn right direct to trasadingen,britannia 096 alfa turn right direct to trasadingen
atcosim_train167.wav,ltu 1280 is identified you are cleared direct to trasadingen climb flight level 290,ltu 1280 is identified you are cleared direct to trasadingen climb flight level 290
atcosim_train168.wav,lufthansa 4390 continue climb to flight level 310,lufthansa 4390 continue climb to flight level 310
atcosim_train169.wav,speed way 208 confirm your position still north of frankfurt,speed way 208 confirm you position still north of frankfurt
atcosim_train170.wav,speed way 208 is identified however contact rhein 132.4,speed way 208 is identified however contact rhein 132.4
atcosim_train171.wav,lufthansa 4390 expedite your climb please,lufthansa 4390 expedite your climb please
atcosim_train172.wav,delta india hotel echo bravo is identified climb flight level 270,delta india hotel echo bravo is identified climb flight level 270
atcosim_train173.wav,emirates 2 is identified,emirates 2 is identified
atcosim_train174.wav,lufthansa 4390 continue climb now to flight level 330 and still expeditious climb please,lufthansa 4390 continue climb now to flight level 330 and still expeditious climb please
atcosim_train175.wav,affirm lufthansa 4390 contact zurich 134.6,affirm lufthansa 4390 contact zurich 134.6
atcosim_train176.wav,delta echo bravo report your heading,delta echo bravo report your heading
atcosim_train177.wav,delta echo bravo turn left heading 170,delta echo bravo turn left heading 170
atcosim_train178.wav,britannia 096 alfa contact zurich 133.4,britannia 096 alfa contact zurich 133.4
atcosim_train179.wav,ltu 1280 report your heading,ltu 1280 report your heading
atcosim_train180.wav,ltu 1280 turn right heading 200,ltu 1280 turn right heading 200
atcosim_train181.wav,ltu 1280 i just received approval you are cleared from present position to hochwald which is hotel oscar charlie afterwards st prex flight planned route,ltu 1280 i just received approval you are cleared from present position to hochwald which is hotel oscar charlie afterwards st prex flight planned route
atcosim_train182.wav,delta echo bravo proceed own navigation to trasadingen,delta echo bravo proceed own navigation to trasadingen
atcosim_train183.wav,emirates 2 contact rhein 132.4 good bye,emirates 2 contact rhein 132.4 good bye
atcosim_train184.wav,sobelair 2521 is identified i ll call you back,sobelair 2521 is identified i ll call you back
atcosim_train185.wav,airals 1088 is identified you are cleared direct to fox fox mike,airals 1088 is identified you are cleared direct to fox fox mike
atcosim_train186.wav,delta echo bravo continue climb to flight level 280,delta echo bravo continue climb to flight level 280
atcosim_train187.wav,ltu 1280 contact now zurich 134.6 you may expect higher,ltu 1280 contact now zurich 134.6 you may expect higher
atcosim_train188.wav,affirm,affirm
atcosim_train189.wav,good bye,good bye
atcosim_train190.wav,lufthansa 4408 is identified proceed direct to tango romeo alfa climb to flight level 270,lufthansa 4408 is identified proceed direct to tango romeo alfa climb to flight level 270
atcosim_train191.wav,sobelair 2521 climb flight level 330,sobelair 2521 climb flight level 330
atcosim_train192.wav,delta echo bravo continue climb to flight level 290,delta echo bravo continue climb to flight level 290
atcosim_train193.wav,lufthansa 4408 continue climb to flight level 290,lufthansa 4408 continue climb to flight level 290
atcosim_train194.wav,delta echo bravo turn right to hotel oscar charlie afterwards st prex flight planned route,delta echo bravo turn right to hotel oscar charlie afterwards st prex flight planned route
atcosim_train195.wav,that is correct delta echo bravo contact zurich 134.6 good bye,that is correct delta echo bravo contact zurich 134.6 good bye
atcosim_train196.wav,good afternoon air berlin 5255 identified you are cleared direct to frankfurt,good afternoon air berlin 5255 identified you are cleared direct to frankfurt
atcosim_train197.wav,sobelair 2521 contact rhein radar 132.4,sobelair 2521 contact rhein radar 132.4
atcosim_train198.wav,bye,bye
atcosim_train199.wav,good afternoon tarom 372 identified,good afternoon tarom 372 identified
atcosim_train200.wav,swiss air 806 is identified continue climb to flight level 310,swiss air 806 is identified continue climb to flight level 310
atcosim_train201.wav,swiss air 9360 is identified expect higher in 5 minutes i ll call you back,swiss air 9360 is identified expect higher in 5 minutes i ll call you back
atcosim_train202.wav,lufthansa 4408 contact zurich 134.6,lufthansa 4408 contact zurich 134.6
atcosim_train203.wav, swiss air 9360 proceed from present position direct to gotiu,swiss air 9360 proceed from present position direct to gotil
atcosim_train204.wav,affirm to gotil intersection,affirm to gotil intersection
atcosim_train205.wav,and swiss air 806 you are cleared from present position to costa which is charlie oscar alfa,and swiss air 806 you are cleared from present position to costa which is charlie oscar alfa
atcosim_train206.wav,no problem,no problem
atcosim_train207.wav,lufthansa 3566 is identified you are cleared direct to trasadingen to continue climb flight level 270,lufthansa 3566 is identified you are cleared direct to trasadingen to continue climb flight level 270
atcosim_train208.wav,hapag lloyd 112 good afternoon you are identified you are cleared direct to frankfurt,hapag lloyd 112 good afternoon you are identified you are cleared direct to frankfurt
atcosim_train209.wav,good afternoon sabena 830 identified you may proceed direct to gotil,good afternoon sabena 830 identified you may proceed direct to gotil
atcosim_train210.wav,lufthansa 3604 is identified climb to flight level 290,lufthansa 3604 is identified climb to flight level 290
atcosim_train211.wav,lufthansa 3566 continue climb to flight level 290,lufthansa 3566 continue climb to flight level 290
atcosim_train212.wav,swiss air 806 climb now to flight level 350,swiss air 806 climb now to flight level 350
atcosim_train213.wav,tarom 372 continue with rhein 132.4,tarom 372 continue with rhein 132.4
atcosim_train214.wav,airals 1088 contact rhein radar 127.37,airals 1088 contact rhein radar 127.37
atcosim_train215.wav,lufthansa 3604 you are cleared now direct to trasadingen,lufthansa 3604 you are cleared now direct to trasadingen
atcosim_train216.wav,swiss air 806 report your rate of climb,swiss air 806 report your rate of climb
atcosim_train217.wav,thank you,thank you
atcosim_train218.wav,swiss air 9360 climb flight level 290,swiss air 9360 climb flight level 290
atcosim_train219.wav,air berlin 5255 contact rhein radar 12737,air berlin 5255 contact rhein radar 12737
atcosim_train220.wav,alitalia 6474 is identified,alitalia 6474 is identified
atcosim_train221.wav,swiss air 9360 continue climb flight level 310,swiss air 9360 continue climb flight level 310
atcosim_train222.wav,swiss air 806 maintain rate of climb 1400 feet per minute or more continue with rhein 12737,swiss air 806 maintain rate of climb 1400 feet per minute or more continue with rhein 12737
atcosim_train223.wav,swiss air 9360 contact rhein 127.37 good bye,swiss air 9360 contact rhein 127.37 good bye
atcosim_train224.wav,lufthansa 4700 good afternoon climb flight level 270 initially,lufthansa 4700 good afternoon climb flight level 270 initially
atcosim_train225.wav,britannia 327 alfa is identified,britannia 327 alfa is identified
atcosim_train226.wav,speed bird 129 is identified,speed bird 129 is identified
atcosim_train227.wav,britannia 327 alfa turn right to kempten,britannia 327 alfa turn right to kempten
atcosim_train228.wav,lufthansa 4700 turn right direct to trasadingen continue climb to flight level 290,lufthansa 4700 turn right direct to trasadingen continue climb to flight level 290
atcosim_train229.wav,good afternoon lufthansa 5236 identified,good afternoon lufthansa 5236 identified
atcosim_train230.wav,lufthansa 3566 contact zurich 134.6,lufthansa 3566 contact zurich 134.6
atcosim_train231.wav,sabena 830 contact rhein radar 127.37,sabena 830 contact rhein radar 127.37
atcosim_train232.wav,lufthansa 4207 is in radar contact good afternoon,lufthansa 4207 is in radar contact good afternoon
atcosim_train233.wav,britannia 327 alfa continue now with rhein 132.4,britannia 327 alfa continue now with rhein 132.4
atcosim_train234.wav,lufthansa 5236 continue now with rhein 127.37 good bye,lufthansa 5236 continue now with rhein 127.37 good bye
atcosim_train235.wav,golf bravo victor juliett india good afternoon identified,golf bravo victor juliett india good afternoon identified
atcosim_train236.wav,lufthansa 3604 contact zurich 134.6,lufthansa 3604 contact zurich 134.6
atcosim_train237.wav,saudia 1 o 6 is identified good afternoon,saudia 1 o 6 is identified good afternoon
atcosim_train238.wav,lufthansa 4207 turn now left to delta kilo bravo,lufthansa 4207 turn now left to delta kilo bravo
atcosim_train239.wav,speed bird 129 contact rhein radar 132.4,speed bird 129 contact rhein radar 132.4
atcosim_train240.wav,golf juliett india turn right to herbi intersection,golf juliett india turn right to herbi intersection
atcosim_train241.wav,hapag lloyd 112 contact rhein radar 127.37,hapag lloyd 112 contact rhein radar 127.37
atcosim_train242.wav,lufthansa 4207 contact rhein radar 127.37,lufthansa 4207 contact rhein radar 127.37
atcosim_train243.wav,lufthansa 4700 contact zurich 134.6 good bye,lufthansa 4700 contact zurich 134.6 good bye
atcosim_train244.wav,lufthansa 3550 is identified continue climb flight level 250 initially,lufthansa 3550 is identified continue climb to flight level 250 initially
atcosim_train245.wav,hotel bravo india tango romeo is identified,hotel bravo india tango romeo is identified
atcosim_train246.wav,lufthansa 3550 continue climb to flight level 290 climb at 1200 feet per minute or more,lufthansa 3550 continue climb to flight level 290 climb at 1200 feet per minute or more
atcosim_train247.wav,saudia 106 contact rhein radar 132.4,saudia 106 contact rhein radar 123.4
atcosim_train248.wav,golf juliett india turn right to trasadingen,golf juliett india turn right to trasadingen
atcosim_train249.wav,lufthansa 4207 rhein,lufthansa 4207 rhein
atcosim_train250.wav,lufthansa 4209 is identified,lufthansa 4209 is identified
atcosim_train251.wav,bee med 1 is identified,bee med 1 is identified
atcosim_train252.wav,alitalia 6474 contact rhein radar 127.37,alitalia 6474 contact rhein radar 127.37
atcosim_train253.wav,lufthansa 4209 turn left direct to dinkelsbuhl delta kilo bravo,lufthansa 4209 turn left direct to dinkelsbuhl delta kilo bravo
atcosim_train254.wav,sabena 836 is identified,sabena 836 is identified
atcosim_train255.wav,lufthansa 5504 i ll call you back,lufthansa 5504 i ll call you back
atcosim_train256.wav,lufthansa 3550 is cleared to trasadingen,lufthansa 3550 is cleared to trasadingen
atcosim_train257.wav,hotel bravo india tango romeo contact rhein radar 127.37,hotel bravo india tango romeo contact rhein radar 127.37
atcosim_train258.wav,delta india mike mike echo is identified climb initially to flight level 270,delta india mike mike echo is identified climb initially to flight level 270
atcosim_train259.wav,good afternoon alitalia 150 you are identified,good afternoon alitalia 150 you are identified
atcosim_train260.wav,scandinavian 617 on identifi,scandinavian 617 is identified
atcosim_train261.wav,golf juliett india contact zurich radar 133.4,golf juliett india contact zurich radar 133.4
atcosim_train262.wav,sabena 302 identified good afternoon,sabena 302 identified good afternoon
atcosim_train263.wav,lufthansa 4209 contact rhein radar 132.4,lufthansa 4209 contact rhein radar 132.4
atcosim_train264.wav,crossair 858 is identified proceed to gotil,crossair 858 is identified proceed to gotil
atcosim_train265.wav,affirm,affirm
atcosim_train266.wav, Crossair 858 disregard gotil fly heading 310,crossair 858 disregard gotil fly heading 310
atcosim_train267.wav,sabena 836 contact rhein radar 127.37,sabena 836 contact rhein radar 127.37
atcosim_train268.wav,delta mike mike echo report present heading,delta mike mike echo report present heading
atcosim_train269.wav,roger delta mike echo maintain heading 171,roger delta mike echo maintain heading 171
atcosim_train270.wav,affirm even after passing neckar,affirm even after passing neckar
atcosim_train271.wav,delta mike mike echo continue climb to flight level 290,delta mike mike echo continue climb to flight level 290
atcosim_train272.wav,lufthansa 3550 contact zurich 134.6,lufthansa 3550 contact zurich 134.6
atcosim_train273.wav,good afternoon adria 1627 identified,good afternoon adria 1627 identified
atcosim_train274.wav,lufthansa 5504 turn right 10 degrees report new heading,lufthansa 5504 turn right 10 degrees report new heading
atcosim_train275.wav,thank you,thank you
atcosim_train276.wav,merair 6952 is identified to climb to flight level 270 proceed direct to trasadingen,merair 6952 is identified to climb to flight level 270 proceed direct to trasadingen
atcosim_train277.wav,lufthansa disregard,lufthansa disregard
atcosim_train278.wav,bee med 1 contact rhein 132.4,bee med 1 contact rhein 132.4
atcosim_train279.wav,no bee med 1 the london airtours,no bee med 1 the london airtours
atcosim_train280.wav,scandinavian 617 descend to flight level 290 descend at 1500 feet per minute or more,scandinavian 617 descend to flight level 290 descend at 1500 feet per minute or more
atcosim_train281.wav,lufthansa 5504 climb now to flight level 330,lufthansa 5504 climb now to flight level 330
atcosim_train282.wav,good afternoon tarom 374 identified,good afternoon tarom 374 identified
atcosim_train283.wav,lufthansa 5504 turn right heading 200,lufthansa 5504 turn right heading 200
atcosim_train284.wav,crossair 858 resume now own navigation to november tango mike,crossair 858 resume now own navigation to november tango mike
atcosim_train285.wav,affirm crossair 858 contact rhein radar 127.37,affirm crossair 858 contact rhein radar 127.37
atcosim_train286.wav,sabena 302 likewise rhein 127.37,sabena 302 likewise rhein 127.37
atcosim_train287.wav,britannia 306 alfa is identified good afternoon,britannia 306 alfa is identified good afternoon
atcosim_train288.wav,nato 10 is identified,nato 10 is identified
atcosim_train289.wav,lufthansa 5504 proceed now own navigation to trasadingen tango romeo alfa,lufthansa 5504 proceed now own navigation to trasadingen tango romeo alfa
atcosim_train290.wav, affirm,affirm
atcosim_train291.wav,delta mike echo turn right heading 185,delta mike echo turn right heading 185
atcosim_train292.wav,malaysian 4 is identified,malaysian 4 is identified
atcosim_train293.wav,lufthansa 5504 contact zurich 134.6,lufthansa 5504 contact zurich 134.6
atcosim_train294.wav,meridiana 6952 climb flight level 290,meridiana 6952 climb flight level 290
atcosim_train295.wav,adria 1627 contact rhein 132.4,adria 1627 contact rhein 132.4
atcosim_train296.wav,alitalia 291 is identified,alitalia 291 is identified
atcosim_train297.wav,gulf air 5 is in radar contact,gulf air 5 is in radar contact
atcosim_train298.wav,merair 6944 is identified you are cleared to tango romeo alfa to climb flight level 270,merair 6944 is identified you are cleared to tango romeo alfa to climb flight level 270
atcosim_train299.wav,swiss air 9359 is identified,swiss air 9359 is identified
atcosim_train300.wav,lufthansa 5217 is identified proceed to dinkelsbuhl delta kilo bravo,lufthansa 5217 is identified proceed to dinkelsbuhl delta kilo bravo
atcosim_train301.wav,alitalia 291 turn right to trasadingen,alitalia 291 turn right to trasadingen
atcosim_train302.wav,tarom 374 contact rhein radar 132.4,tarom 374 contact rhein radar 132.4
